ResponseId,StartDate,why_join,future_plans,stay_in_class,tools_RStudio,tools_tidyverse,tools_ggplot,tools_python,tools_spacy,tools_nltk,tools_pandas,know_ML,know_LDA,know_embeddings,know_transformers,know_dialogActs,know_dependency,know_bagOfWords,know_NER,know_crossValidation,know_PCA,know_lasso,know_kmeans,know_sentiment,know_GPT,group_project,pros,cons,other
10001,08/01/2025 10:22,To learn the way to deal with text information. I usually find it’s hard to quantify text information and even have no idea about it.,We always find the information only included text. But we need to quantify it or use other ways to analysis the information. I want to use it in my final project or even later when working.,8,5,1,4,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"Product reviews, news articles","Detailed way to quantify different kinds of text, and how to classify them.",Cannot pass the exam because it is too new for me,
10002,08/01/2025 11:25,I am interested in it,Trying to use it in the final project,8,4,1,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,Hope I can pass it!,Learning something new!,Too hard,hope you can teach knowledge step by step
10003,08/01/2025 14:06,the course content seems to be attractive and interesting to me,"enhance the efficiency of working by applying coding to some extent, using text to evaluate the information found in large corpora.",7,3,3,3,2,1,1,2,4,1,2,1,1,1,1,1,3,1,1,4,2,4,"product reviews, employee reviews, customer service",how to turn text into data and how it helps with the analysis,the difficulty level of coding,If mock papers or exam-style questions can be provided before the final exam
10004,08/01/2025 14:08,"Interesting, any might be helpful for my future career",Creating a small script to summary articles.,8,2,1,2,3,1,1,3,3,1,2,1,1,1,2,1,3,1,1,4,2,4,"product reviews, employee reviews, customer service",New techniques about text and the implementation ,How to write codes about text instead of numbers,"Tell us more about the exam, like the mock papers"
10005,08/01/2025 15:16,I joined a project which used NLP before. The group included two parts. I'm for business analysis and my friends major in CS did the coding things. I was curious about what they did. So now I want to simply study something about it.,"A lot. Statistics, ratings, fundamental analysis, etc.",7,2,1,2,3,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,3,"product reviews, earnings calls",Learn the principles of text mining and enhance coding skills.,Too hard the coding and knowledge for me to complete. ,Not yet
10006,08/01/2025 15:24,"I think this course is the most applicable among all the courses. Since I am already facing the need to find a job at the graduate level, I hope that the knowledge I have learned can be applied in my future work. I think extracting effective information and data from the overwhelming text information on the Internet is an important information retrieval ability that can be used in all aspects of work, so I chose this course.",Not sure yet,6,3,1,2,2,1,1,2,2,1,1,1,1,1,1,1,3,1,1,3,1,4,"customer service, articles",master the ability to searching and attracting efficient information,not good at coding ,maybe no
10007,08/01/2025 16:53,I want learn how to extract valuable information from public unstructured data to direct financial decisions.,I want to learn this course as a start point for me to learn more about how to use LLM to understand public financial document and use that to help me make financial decisions.,8,4,1,2,5,1,1,5,3,1,1,2,1,1,2,1,2,2,3,3,2,5,"News related to financial field, from medias such as financial times",Coding!!!!!!!!,Also Coding!!!!!!!!,N/A
10008,08/01/2025 17:02,"Learn about more coding applications, namely learning unsupervised machine learning algorithms.",For analyzing data based on text to infer trading decisions.,5,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,"Using unsupervised ML algorithms to analyze Fed Funds announcement, or earnings calls to make more systematic algotrading decisions.",Applying what we learn to Python.,"Using R, since the industry mostly uses Python, instead of R.",The industry actually uses Python instead of R. So it will be useful to focus more on Python (VS Studio etc) instead of R.
10009,08/01/2025 16:51,"The text mining knowledge is associated with machine learning. I consider this knowledge will helpful in my future career, because this tech can allow me to mine more useful financial information for company.","This technology can allow me to mine more useful information in an efficient way, which can assist me to improve the investment(like more accurate stock price prediction). ",7,3,1,3,3,1,1,3,3,1,1,1,1,1,1,1,3,2,3,3,1,5,product reviews,financial report data analysis,work with different teammates,
10010,08/01/2025 17:19,want to learn more about coding,Using R ,6,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,Maybe product reviews ,Learn more about coding by R and try to use it in the future.,Afraid to make a group with other,None
10011,08/01/2025 17:23,I think R language is very important and useful. And I want to study more knowledge to apply in investing.,I think text mining can help me access public sentiment and make investment decisions.,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,Long or short the stock market? By analyzing the articles published by different investment managers.,Useful techniques that I can apply in the future,I am not very proficient in R,No. Thanks.
10012,08/01/2025 17:16,useful,"
I can analyze unstructured text data for insights in sentiment analysis, market research, and automating workflows in both professional and academic contexts.",8,3,1,3,3,1,1,3,2,1,1,1,1,2,1,1,1,2,1,2,2,4,"perhaps employee reviews, or product reviews.",easy final exam pls!,group presentation and exam.,
10013,08/01/2025 18:09,Core course!!!,Write in my resume.,8,2,1,2,4,1,1,3,3,2,1,1,1,1,1,1,2,3,2,4,1,5,No,Useful technique for job,Presentation,No
10014,08/01/2025 15:10,I am interested on how to process text data to gain financial insights because i feel most of the finance information are in a written form (financial statements),i'd like to work in a fintech company on a role that is mainly working with data and gaining insight from that (sort of like data science but on specific field),7,2,1,2,4,1,1,3,3,2,2,2,1,1,2,1,3,1,1,3,2,4,I am interested on learning how to know a country's economic state based on the layoff rate happening on companies in the country (can get the data from glassdoor / other social forum),learning the techniques to process data to gain finance knowledge ,i am not an expert on R and Machine Learning,
10015,08/01/2025 19:58,I‘m into NLP and ML,In my future work or trading algorithm,6,2,1,2,3,1,1,3,2,1,1,1,1,1,1,1,3,3,3,4,1,4,i prefer news articles,my coding skills and some ML NLP knowledge,difficult,nope
10016,08/01/2025 20:22,interest,,7,3,3,3,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,4,product reviews,,,
10017,08/01/2025 20:13,Interested in text mining and want to acquire relevant skills.,I want to be an audit. It requires access to a lot of textual material. What we learned from this course can substantially improve efficiency.,8,3,1,2,4,1,1,3,2,1,1,1,1,1,2,2,2,2,1,3,3,3,employee reviews,Acquiring knowledge and practical skills that could be used in the future.,Might not able to use R as efficiently as other team members.,No
10018,08/01/2025 21:18,cause i think R is very important,study hard,8,3,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,not very sure. ,about the code and class slides,about the code,not sure
10019,08/01/2025 21:43,I found it interesting and it is related to neural networks.,"Maybe in the future, I will have the opportunity to do some research, which requires me to know about this material.",7,3,1,3,3,1,1,2,1,1,3,3,2,1,1,1,1,4,4,3,2,4,"These are the topics that I am interested in: speeches, interviews, and earning calls.","Lectures, stepping out of the comfort zone and materials.","Stepping out of my comfort zone, which is I am looking forward to and also worried about at the same time.",I enjoyed the lecture!
10020,08/01/2025 21:52,"Because I want to learn more about R Programming skills, and learn how to extract meaningful information from vast amounts of unstructured text data, in order to prepare for my project writing in the end of the study year. ",Prepare for my project writing. ,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,Maybe how the perspectives of people from different cultural backgrounds vary,Polish my programming skills and information extraction skills.,"I have had very little exposure to programming before, and I am concerned that my skills may be too basic to keep up with the pace of the class.","No, thanks!"
10021,08/01/2025 22:24,the topic is interesting for me,may be in work,7,4,1,3,2,1,1,1,3,2,1,1,1,2,2,2,1,1,1,3,1,4,review about amazon products,learning to use R to analyze text ,the coding things,no
10022,08/01/2025 21:56,"I studied pure finance during my undergrad, and I’m aiming for a career in finance, especially in risk management roles. Text mining is really useful in this area because it helps analyze unstructured data like financial reports and news to spot potential risks early. I believe these skills will make me more competitive when applying for jobs in this field.","As I mentioned in the previous question, I plan to integrate text mining techniques into financial risk assessment models. For example, analyzing sentiment from financial news or identifying patterns in textual data from company reports can provide deeper insights into market behavior. This approach can help improve predictive accuracy and support more informed strategic decisions in risk management.",8,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,3,1,4,news articles,I hope to become more proficient in using R Studio to solve real life problems through this course. I’m also looking forward to collaborating with classmates from diverse projects and backgrounds to improve my teamwork and communication skills.,I'm a bit concerned about whether I can balance the coursework of this class with the pressure of my ongoing job search.,None
10023,08/01/2025 22:48,Learn sth which can be used in practice,Do research ,8,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,job descriptions,Learn sth that can be used in practice,too many tasks ,
10024,08/01/2025 18:19,Do more statistical programming with big dataset in real life case.,Program basic text algorithms,8,4,1,3,4,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,4,have no idea right now,text analysis,finding data,
10025,08/01/2025 18:09,"NLP fascinates me, and the topics covered in this course are highly engaging and aligned with my interests.","I plan to use the skills gained to analyze reviews or extract valuable information (e.g., text or images) from the web, enabling me to derive useful insights from unstructured data.",6,3,1,3,2,1,1,2,2,3,1,1,3,2,3,3,3,2,1,3,3,4,"job descriptions, customer service，product reviews","I look forward to becoming proficient in extracting and analysing useful information from reviews, images, or other types of unstructured data, and applying these skills to real-world scenarios.","I am concerned that my limited experience in R might make it challenging to keep up with the pace of the class or collaborate effectively in group projects. However, I am eager to learn and improve, and I hope to become more confident in handling data and contributing to group efforts.","It would be really helpful if every lecture could be recorded, as it would allow me to review the content after class and improve my understanding more effectively. Additionally, I would appreciate if the course could include more practical examples, as they would greatly enhance the learning experience and help in applying the concepts in real-world scenarios."
10026,09/01/2025 10:15,I work as a part-time intern for a PE fund and my main task is finding and pitching new target companies. Therefore I wanna deploy techniques to analyse news and reports on the company to get a qualitative assessment on it's strengths.,As stated above by implementing these techniques into a multi-agent model for deal sourcing of a PE fund.,8,2,1,2,4,1,1,4,5,1,1,1,1,1,1,1,3,1,2,3,2,4,I want to check if the news and reports of a private held company correlate in their positive or negative nature with the growth and profit of the company,,"That not all techniques can be used in Python
That we dont learn enough qualitative methods to analyse data",
10027,09/01/2025 11:02,good review and interesting topic,hopefully they will be helpful in my work,7,3,1,2,4,1,1,3,3,2,1,1,1,2,1,1,2,1,1,3,1,4,information related to jobs in finance seems appealing at the moment for me,randomly assigned group mates in the first few weeks,randomly assigned group mates in the first few weeks,an estimated final grade between 60-70 is a bit worrying
10028,08/01/2025 17:04,this course sounds interesting,have no ideas,6,3,1,3,3,1,1,3,3,1,1,1,1,1,1,1,3,3,3,2,3,4," product review, customer service",application,Too difficult,NA
10029,09/01/2025 11:59,to learn about NLP,To perform the market sentiment analysis,7,2,1,2,3,1,1,2,3,1,1,1,3,2,2,3,3,3,2,3,3,4,Fred anouncments,,,
10030,09/01/2025 12:38,,,7,3,2,2,3,1,1,3,2,1,1,1,2,1,1,1,1,3,3,3,2,4,product reviews,,,
10031,09/01/2025 12:46,Want to learn how different text affect decisions or analysis,during the analysis of the company or in the projects,8,2,1,2,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,1,4,"new articles and speeches, how these things affect the stocks prices beyond the actual financial performance of a company ",how to get large amount of relevant text data and how to optimally analyze the data,I'll try my best,N/A
10032,09/01/2025 13:15,It's practical.,In work.,7,3,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,No ideas for now.,Learn practical skills and pass.,Too much homework.,No.
10033,09/01/2025 13:33,"I want to develop technical skills in text mining for my job.
The buy-side is now using factor analysis for some investments. ",For commodity trading. ,8,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,3,4,5,news articles for commodities market  ,,My coding skills are weak.,
10034,08/01/2025 12:23,"The bond market lacks rich fundamental data, so I intend to apply text mining to news analysis in the market to develop strategies for corporate bond investments",I intend to master the text mining techniques in the material and build my own corporate bond rating model,7,2,2,2,4,1,1,4,3,1,1,1,1,1,1,1,3,3,3,4,1,2,I'm currently interested in news article analysis to try to dig out more information that will lead to better pricing of corporate bonds,Text mining techniques and applications in the real world,I have no experience in NLP,nothing
10035,08/01/2025 19:56,I hope to understand how to turn the information obtained into data representation,I can use this skill when analyzing data,7,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,news articles,The ability to write code in R can be improved after completing this course,"My coding ability of R and Python is not sufficient, making it difficult to write code",
10036,09/01/2025 13:54,"I signed up for this course because I am keen to explore the intersection of technology and finance. Text mining offers a unique way to uncover insights from unstructured data, such as financial reports, news, and social media, which are increasingly influencing economic and financial decision-making. I believe this course will provide me with valuable skills in natural language processing and data analytics that are highly relevant in today's data-driven economy.","In the future, I plan to apply the knowledge and techniques learned in this course to analyze market trends, assess investment opportunities, and gain deeper insights into economic behavior. For example, I would like to use text mining to study the impact of news sentiment on stock price volatility or to evaluate the tone of earnings calls to predict company performance. Additionally, these skills will be instrumental in my career in financial data analytics or economic research.",7,3,1,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Product reviews,"I am looking forward to gaining hands-on experience with text mining techniques and applying them to real-world economic and financial datasets. Exploring how text data, such as news articles or financial reports, can influence market trends and economic insights excites me. I’m particularly eager to work on projects that involve analyzing sentiment or extracting actionable information from large-scale unstructured data.","I am slightly concerned about the steep learning curve associated with mastering new tools and techniques, such as advanced natural language processing algorithms, especially if they involve extensive coding or mathematical complexity. Additionally, ensuring I can manage the workload alongside other commitments is another potential challenge.",No
10037,09/01/2025 04:00,I thought this course would be interesting,not very sure now; maybe I'll know after I finish learning,7,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,product reviews ,how to quantitatively analysing text data,coding things. I'm not very good at that,nothing 
10038,09/01/2025 14:10,I like quant and coding course.,Use skills in my Phd or other research projects.,8,4,4,4,4,1,1,4,3,1,2,2,1,2,3,1,4,2,2,4,1,4,customer services.,Not so tough exam and earning wide range of R coding skills.,insufficient reviewing time for exam.,N/A
10039,08/01/2025 18:09,I think it is useful.,Maybe in my career.,7,2,1,2,3,2,1,2,2,2,1,1,2,2,2,3,1,2,4,4,3,5,Book reviews,Tools,Coding,No
10040,09/01/2025 14:39,Thought it would be helpful in finding jobs,use it to form the strategy to beat the market,7,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,"Game review websites, especially gacha game",pratical works that can be used to tackle the questions,fear of not using it to the most because of unfamiliarizing the text data in English background,allow to use other language to analyze but present in English
10041,09/01/2025 15:14,For interest,,6,3,1,3,3,1,1,2,3,4,1,1,1,1,3,3,3,1,1,3,1,5,no idea about it yet,better understanding of R-language that applied in finance,group presentation,no
10042,10/01/2025 18:03,Want to know more about text mining and how to implement it in finance area,"Maybe in investment bank, do some analysis work. It may not relevant to my future career, but at least improve R skills, and may give me some different insights",8,2,2,2,4,1,1,4,4,3,5,5,1,1,1,2,5,1,2,3,5,5,earnings calls sounds good,Some interesting ML model,"I don't like trying to understand how models works, the underlying logic and formula, I may just want to learn how to use it, what different parameter means",None
10043,10/01/2025 19:12,Because I think it is really practical and useful in both academic and working environment and am keen on applying text mining skills into applicable scenarios in real world.,"Text mining can be applied in various fields to extract valuable insights from large volumes of text data. For instance, as a risk quant in an investment bank, you can leverage text mining to analyze vast amounts of unstructured data, such as news articles, financial reports, and social media posts, to identify potential risks and opportunities. By extracting relevant information and detecting patterns, you can enhance risk assessment models, predict market movements, and make more informed investment decisions. This approach can help in monitoring market sentiment, detecting early warning signals, and improving the overall risk management strategy of the bank. ",7,2,2,2,2,1,1,2,3,3,3,2,2,2,2,2,3,3,3,3,3,3,earnings calls,using codes to analyse text information ,analysing meaningful project,
10044,09/01/2025 15:01,I hope to gain the ability to extract information from text using code.,Use text to predict variables in economics and daily life. help to analyze the text resources,6,3,1,2,2,1,1,2,1,1,1,1,1,1,2,2,3,1,1,3,3,3,movie reviews,communications,Not proficient in using R/Python,nope
10045,11/01/2025 09:51,Want to learn more about text mining,Use it for data analysis and key string search in various algorithms,8,4,4,4,2,2,2,2,1,1,1,3,1,1,1,1,3,3,4,4,1,5,Customer service,How to apply this in practice,Only learning the theorems and not being able to apply in practice,No
10046,12/01/2025 16:30,l want to apply big data into finance and asset managements ,informing trading decision and asset allocations ,6,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,earnings calls,earnings calls,coding ,more applications in asset management and trading 
10047,13/01/2025 00:22,"Because I find text analysis interesting, and it appeals to me very much. I hope to find the relationship between public information and price changes of financial products.","Perhaps I would apply it to investing in virtual currencies, because the price of virtual currencies is heavily influenced by information.",7,2,1,2,4,1,2,3,1,1,1,3,1,1,1,1,1,1,1,1,1,5,earnings calls,The ability to extract key information from text,The difficulty of coding,Nope
10048,13/01/2025 10:07,To learn something practically useful,"I wish to break into PEVC, so I hope to use text mining when doing research to impress my boss ; )",8,2,1,2,4,1,1,4,5,1,4,3,1,1,4,1,3,4,1,4,2,5,Heard of a research revealing covered fraud and negative news in financial reports using sentiment analysis. Expand to other fields i.e. tweets/speeches or deepen using some more advanced models.,Hands-on technique of web crawler; understanding of fundamental theories of llm and llm market dynamics,R but not python,
10049,08/01/2025 14:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,08/01/2025 17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,08/01/2025 17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,08/01/2025 18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,08/01/2025 18:09,Only choose quant or coding courses.,Excel in R and use skills probably in the summer research or in phd.,8,4,4,4,3,1,1,3,3,3,1,1,1,1,3,2,4,1,2,3,4,5,,,,
10054,09/01/2025 12:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055,09/01/2025 12:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056,09/01/2025 14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057,09/01/2025 14:40,,,6,2,1,2,3,1,1,3,,,,,,,,,,,,,,,,,,
10058,09/01/2025 14:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,09/01/2025 15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,